"Week_Start","Store","Day","Forecast","Week_ID"
"2014-01-25","baltimore",1,125,1
"2014-01-25","baltimore",2,141,1
"2014-01-25","baltimore",3,141,1
"2014-01-25","baltimore",4,149,1
"2014-01-25","baltimore",5,151,1
"2014-01-25","baltimore",6,157,1
"2014-01-25","baltimore",7,158,1
"2014-02-01","baltimore",1,115,2
"2014-02-01","baltimore",2,129,2
"2014-02-01","baltimore",3,137,2
"2014-02-01","baltimore",4,150,2
"2014-02-01","baltimore",5,138,2
"2014-02-01","baltimore",6,135,2
"2014-02-01","baltimore",7,137,2
"2014-02-08","baltimore",1,127,3
"2014-02-08","baltimore",2,145,3
"2014-02-08","baltimore",3,132,3
"2014-02-08","baltimore",4,124,3
"2014-02-08","baltimore",5,126,3
"2014-02-08","baltimore",6,132,3
"2014-02-08","baltimore",7,139,3
"2014-02-15","baltimore",1,127,4
"2014-02-15","baltimore",2,110,4
"2014-02-15","baltimore",3,122,4
"2014-02-15","baltimore",4,130,4
"2014-02-15","baltimore",5,129,4
"2014-02-15","baltimore",6,134,4
"2014-02-15","baltimore",7,134,4
"2014-02-22","baltimore",1,95,5
"2014-02-22","baltimore",2,128,5
"2014-02-22","baltimore",3,121,5
"2014-02-22","baltimore",4,136,5
"2014-02-22","baltimore",5,146,5
"2014-02-22","baltimore",6,149,5
"2014-02-22","baltimore",7,149,5
"2014-03-01","baltimore",1,97,6
"2014-03-01","baltimore",2,113,6
"2014-03-01","baltimore",3,124,6
"2014-03-01","baltimore",4,128,6
"2014-03-01","baltimore",5,124,6
"2014-03-01","baltimore",6,125,6
"2014-03-01","baltimore",7,128,6
"2014-03-08","baltimore",1,124,7
"2014-03-08","baltimore",2,138,7
"2014-03-08","baltimore",3,137,7
"2014-03-08","baltimore",4,124,7
"2014-03-08","baltimore",5,129,7
"2014-03-08","baltimore",6,133,7
"2014-03-08","baltimore",7,138,7
"2014-03-15","baltimore",1,135,8
"2014-03-15","baltimore",2,132,8
"2014-03-15","baltimore",3,125,8
"2014-03-15","baltimore",4,124,8
"2014-03-15","baltimore",5,124,8
"2014-03-15","baltimore",6,130,8
"2014-03-15","baltimore",7,134,8
"2014-03-22","baltimore",1,125,9
"2014-03-22","baltimore",2,130,9
"2014-03-22","baltimore",3,118,9
"2014-03-22","baltimore",4,119,9
"2014-03-22","baltimore",5,123,9
"2014-03-22","baltimore",6,130,9
"2014-03-22","baltimore",7,134,9
"2014-03-29","baltimore",1,157,10
"2014-03-29","baltimore",2,153,10
"2014-03-29","baltimore",3,132,10
"2014-03-29","baltimore",4,124,10
"2014-03-29","baltimore",5,134,10
"2014-03-29","baltimore",6,145,10
"2014-03-29","baltimore",7,151,10
"2014-04-05","baltimore",1,131,11
"2014-04-05","baltimore",2,157,11
"2014-04-05","baltimore",3,141,11
"2014-04-05","baltimore",4,122,11
"2014-04-05","baltimore",5,126,11
"2014-04-05","baltimore",6,130,11
"2014-04-05","baltimore",7,141,11
"2014-04-12","baltimore",1,128,12
"2014-04-12","baltimore",2,137,12
"2014-04-12","baltimore",3,123,12
"2014-04-12","baltimore",4,120,12
"2014-04-12","baltimore",5,121,12
"2014-04-12","baltimore",6,127,12
"2014-04-12","baltimore",7,134,12
"2014-04-19","baltimore",1,176,13
"2014-04-19","baltimore",2,178,13
"2014-04-19","baltimore",3,144,13
"2014-04-19","baltimore",4,115,13
"2014-04-19","baltimore",5,122,13
"2014-04-19","baltimore",6,136,13
"2014-04-19","baltimore",7,150,13
"2014-04-27","baltimore",1,143,14
"2014-04-27","baltimore",2,124,14
"2014-04-27","baltimore",3,117,14
"2014-04-27","baltimore",4,119,14
"2014-04-27","baltimore",5,127,14
"2014-04-27","baltimore",6,136,14
"2014-04-27","baltimore",7,138,14
"2014-05-04","baltimore",1,121,15
"2014-05-04","baltimore",2,106,15
"2014-05-04","baltimore",3,111,15
"2014-05-04","baltimore",4,124,15
"2014-05-04","baltimore",5,126,15
"2014-05-04","baltimore",6,130,15
"2014-05-04","baltimore",7,128,15
"2014-05-11","baltimore",1,153,16
"2014-05-11","baltimore",2,142,16
"2014-05-11","baltimore",3,121,16
"2014-05-11","baltimore",4,125,16
"2014-05-11","baltimore",5,132,16
"2014-05-11","baltimore",6,143,16
"2014-05-11","baltimore",7,146,16
"2014-05-18","baltimore",1,116,17
"2014-05-18","baltimore",2,108,17
"2014-05-18","baltimore",3,115,17
"2014-05-18","baltimore",4,129,17
"2014-05-18","baltimore",5,133,17
"2014-05-18","baltimore",6,135,17
"2014-05-18","baltimore",7,132,17
"2014-05-25","baltimore",1,415,18
"2014-05-25","baltimore",2,338,18
"2014-05-25","baltimore",3,115,18
"2014-05-25","baltimore",4,62,18
"2014-05-25","baltimore",5,47,18
"2014-05-25","baltimore",6,126,18
"2014-05-25","baltimore",7,146,18
"2014-06-01","baltimore",1,148,19
"2014-06-01","baltimore",2,135,19
"2014-06-01","baltimore",3,126,19
"2014-06-01","baltimore",4,130,19
"2014-06-01","baltimore",5,127,19
"2014-06-01","baltimore",6,135,19
"2014-06-01","baltimore",7,140,19
"2014-06-08","baltimore",1,137,20
"2014-06-08","baltimore",2,134,20
"2014-06-08","baltimore",3,127,20
"2014-06-08","baltimore",4,129,20
"2014-06-08","baltimore",5,133,20
"2014-06-08","baltimore",6,139,20
"2014-06-08","baltimore",7,142,20
"2014-01-25","lancaster",1,152,1
"2014-01-25","lancaster",2,154,1
"2014-01-25","lancaster",3,180,1
"2014-01-25","lancaster",4,210,1
"2014-01-25","lancaster",5,227,1
"2014-01-25","lancaster",6,233,1
"2014-01-25","lancaster",7,228,1
"2014-02-01","lancaster",1,185,2
"2014-02-01","lancaster",2,170,2
"2014-02-01","lancaster",3,200,2
"2014-02-01","lancaster",4,218,2
"2014-02-01","lancaster",5,202,2
"2014-02-01","lancaster",6,203,2
"2014-02-01","lancaster",7,205,2
"2014-02-08","lancaster",1,143,3
"2014-02-08","lancaster",2,169,3
"2014-02-08","lancaster",3,175,3
"2014-02-08","lancaster",4,181,3
"2014-02-08","lancaster",5,192,3
"2014-02-08","lancaster",6,195,3
"2014-02-08","lancaster",7,199,3
"2014-02-15","lancaster",1,158,4
"2014-02-15","lancaster",2,157,4
"2014-02-15","lancaster",3,192,4
"2014-02-15","lancaster",4,199,4
"2014-02-15","lancaster",5,202,4
"2014-02-15","lancaster",6,200,4
"2014-02-15","lancaster",7,202,4
"2014-02-22","lancaster",1,135,5
"2014-02-22","lancaster",2,177,5
"2014-02-22","lancaster",3,162,5
"2014-02-22","lancaster",4,197,5
"2014-02-22","lancaster",5,209,5
"2014-02-22","lancaster",6,220,5
"2014-02-22","lancaster",7,220,5
"2014-03-01","lancaster",1,139,6
"2014-03-01","lancaster",2,169,6
"2014-03-01","lancaster",3,193,6
"2014-03-01","lancaster",4,192,6
"2014-03-01","lancaster",5,185,6
"2014-03-01","lancaster",6,185,6
"2014-03-01","lancaster",7,193,6
"2014-03-08","lancaster",1,167,7
"2014-03-08","lancaster",2,184,7
"2014-03-08","lancaster",3,198,7
"2014-03-08","lancaster",4,171,7
"2014-03-08","lancaster",5,188,7
"2014-03-08","lancaster",6,191,7
"2014-03-08","lancaster",7,201,7
"2014-03-15","lancaster",1,166,8
"2014-03-15","lancaster",2,177,8
"2014-03-15","lancaster",3,173,8
"2014-03-15","lancaster",4,183,8
"2014-03-15","lancaster",5,184,8
"2014-03-15","lancaster",6,190,8
"2014-03-15","lancaster",7,195,8
"2014-03-22","lancaster",1,151,9
"2014-03-22","lancaster",2,188,9
"2014-03-22","lancaster",3,181,9
"2014-03-22","lancaster",4,185,9
"2014-03-22","lancaster",5,184,9
"2014-03-22","lancaster",6,189,9
"2014-03-22","lancaster",7,195,9
"2014-03-29","lancaster",1,199,10
"2014-03-29","lancaster",2,217,10
"2014-03-29","lancaster",3,200,10
"2014-03-29","lancaster",4,180,10
"2014-03-29","lancaster",5,197,10
"2014-03-29","lancaster",6,206,10
"2014-03-29","lancaster",7,217,10
"2014-04-05","lancaster",1,145,11
"2014-04-05","lancaster",2,184,11
"2014-04-05","lancaster",3,176,11
"2014-04-05","lancaster",4,179,11
"2014-04-05","lancaster",5,182,11
"2014-04-05","lancaster",6,185,11
"2014-04-05","lancaster",7,192,11
"2014-04-12","lancaster",1,182,12
"2014-04-12","lancaster",2,197,12
"2014-04-12","lancaster",3,180,12
"2014-04-12","lancaster",4,179,12
"2014-04-12","lancaster",5,174,12
"2014-04-12","lancaster",6,186,12
"2014-04-12","lancaster",7,196,12
"2014-04-19","lancaster",1,206,13
"2014-04-19","lancaster",2,214,13
"2014-04-19","lancaster",3,203,13
"2014-04-19","lancaster",4,171,13
"2014-04-19","lancaster",5,185,13
"2014-04-19","lancaster",6,193,13
"2014-04-19","lancaster",7,206,13
"2014-04-27","lancaster",1,179,14
"2014-04-27","lancaster",2,175,14
"2014-04-27","lancaster",3,184,14
"2014-04-27","lancaster",4,184,14
"2014-04-27","lancaster",5,190,14
"2014-04-27","lancaster",6,195,14
"2014-04-27","lancaster",7,198,14
"2014-05-04","lancaster",1,163,15
"2014-05-04","lancaster",2,159,15
"2014-05-04","lancaster",3,166,15
"2014-05-04","lancaster",4,168,15
"2014-05-04","lancaster",5,174,15
"2014-05-04","lancaster",6,180,15
"2014-05-04","lancaster",7,183,15
"2014-05-11","lancaster",1,187,16
"2014-05-11","lancaster",2,196,16
"2014-05-11","lancaster",3,169,16
"2014-05-11","lancaster",4,178,16
"2014-05-11","lancaster",5,189,16
"2014-05-11","lancaster",6,200,16
"2014-05-11","lancaster",7,203,16
"2014-05-18","lancaster",1,144,17
"2014-05-18","lancaster",2,165,17
"2014-05-18","lancaster",3,171,17
"2014-05-18","lancaster",4,182,17
"2014-05-18","lancaster",5,186,17
"2014-05-18","lancaster",6,187,17
"2014-05-18","lancaster",7,188,17
"2014-05-25","lancaster",1,468,18
"2014-05-25","lancaster",2,355,18
"2014-05-25","lancaster",3,101,18
"2014-05-25","lancaster",4,79,18
"2014-05-25","lancaster",5,66,18
"2014-05-25","lancaster",6,157,18
"2014-05-25","lancaster",7,152,18
"2014-06-01","lancaster",1,179,19
"2014-06-01","lancaster",2,170,19
"2014-06-01","lancaster",3,166,19
"2014-06-01","lancaster",4,184,19
"2014-06-01","lancaster",5,179,19
"2014-06-01","lancaster",6,189,19
"2014-06-01","lancaster",7,191,19
"2014-06-08","lancaster",1,160,20
"2014-06-08","lancaster",2,157,20
"2014-06-08","lancaster",3,167,20
"2014-06-08","lancaster",4,181,20
"2014-06-08","lancaster",5,194,20
"2014-06-08","lancaster",6,196,20
"2014-06-08","lancaster",7,196,20
"2014-01-25","philadelphia",1,274,1
"2014-01-25","philadelphia",2,281,1
"2014-01-25","philadelphia",3,277,1
"2014-01-25","philadelphia",4,291,1
"2014-01-25","philadelphia",5,289,1
"2014-01-25","philadelphia",6,293,1
"2014-01-25","philadelphia",7,289,1
"2014-02-01","philadelphia",1,236,2
"2014-02-01","philadelphia",2,239,2
"2014-02-01","philadelphia",3,258,2
"2014-02-01","philadelphia",4,268,2
"2014-02-01","philadelphia",5,253,2
"2014-02-01","philadelphia",6,245,2
"2014-02-01","philadelphia",7,245,2
"2014-02-08","philadelphia",1,240,3
"2014-02-08","philadelphia",2,258,3
"2014-02-08","philadelphia",3,248,3
"2014-02-08","philadelphia",4,238,3
"2014-02-08","philadelphia",5,238,3
"2014-02-08","philadelphia",6,240,3
"2014-02-08","philadelphia",7,246,3
"2014-02-15","philadelphia",1,246,4
"2014-02-15","philadelphia",2,216,4
"2014-02-15","philadelphia",3,217,4
"2014-02-15","philadelphia",4,220,4
"2014-02-15","philadelphia",5,225,4
"2014-02-15","philadelphia",6,230,4
"2014-02-15","philadelphia",7,233,4
"2014-02-22","philadelphia",1,223,5
"2014-02-22","philadelphia",2,272,5
"2014-02-22","philadelphia",3,241,5
"2014-02-22","philadelphia",4,256,5
"2014-02-22","philadelphia",5,256,5
"2014-02-22","philadelphia",6,266,5
"2014-02-22","philadelphia",7,265,5
"2014-03-01","philadelphia",1,187,6
"2014-03-01","philadelphia",2,215,6
"2014-03-01","philadelphia",3,234,6
"2014-03-01","philadelphia",4,233,6
"2014-03-01","philadelphia",5,223,6
"2014-03-01","philadelphia",6,217,6
"2014-03-01","philadelphia",7,221,6
"2014-03-08","philadelphia",1,235,7
"2014-03-08","philadelphia",2,234,7
"2014-03-08","philadelphia",3,248,7
"2014-03-08","philadelphia",4,235,7
"2014-03-08","philadelphia",5,240,7
"2014-03-08","philadelphia",6,242,7
"2014-03-08","philadelphia",7,243,7
"2014-03-15","philadelphia",1,245,8
"2014-03-15","philadelphia",2,246,8
"2014-03-15","philadelphia",3,233,8
"2014-03-15","philadelphia",4,228,8
"2014-03-15","philadelphia",5,224,8
"2014-03-15","philadelphia",6,228,8
"2014-03-15","philadelphia",7,233,8
"2014-03-22","philadelphia",1,248,9
"2014-03-22","philadelphia",2,285,9
"2014-03-22","philadelphia",3,236,9
"2014-03-22","philadelphia",4,212,9
"2014-03-22","philadelphia",5,208,9
"2014-03-22","philadelphia",6,220,9
"2014-03-22","philadelphia",7,235,9
"2014-03-29","philadelphia",1,319,10
"2014-03-29","philadelphia",2,300,10
"2014-03-29","philadelphia",3,259,10
"2014-03-29","philadelphia",4,231,10
"2014-03-29","philadelphia",5,240,10
"2014-03-29","philadelphia",6,257,10
"2014-03-29","philadelphia",7,269,10
"2014-04-05","philadelphia",1,259,11
"2014-04-05","philadelphia",2,298,11
"2014-04-05","philadelphia",3,256,11
"2014-04-05","philadelphia",4,232,11
"2014-04-05","philadelphia",5,229,11
"2014-04-05","philadelphia",6,238,11
"2014-04-05","philadelphia",7,251,11
"2014-04-12","philadelphia",1,279,12
"2014-04-12","philadelphia",2,273,12
"2014-04-12","philadelphia",3,217,12
"2014-04-12","philadelphia",4,200,12
"2014-04-12","philadelphia",5,205,12
"2014-04-12","philadelphia",6,223,12
"2014-04-12","philadelphia",7,239,12
"2014-04-19","philadelphia",1,351,13
"2014-04-19","philadelphia",2,315,13
"2014-04-19","philadelphia",3,245,13
"2014-04-19","philadelphia",4,207,13
"2014-04-19","philadelphia",5,215,13
"2014-04-19","philadelphia",6,243,13
"2014-04-19","philadelphia",7,262,13
"2014-04-27","philadelphia",1,287,14
"2014-04-27","philadelphia",2,227,14
"2014-04-27","philadelphia",3,187,14
"2014-04-27","philadelphia",4,191,14
"2014-04-27","philadelphia",5,208,14
"2014-04-27","philadelphia",6,232,14
"2014-04-27","philadelphia",7,240,14
"2014-05-04","philadelphia",1,270,15
"2014-05-04","philadelphia",2,220,15
"2014-05-04","philadelphia",3,207,15
"2014-05-04","philadelphia",4,210,15
"2014-05-04","philadelphia",5,220,15
"2014-05-04","philadelphia",6,232,15
"2014-05-04","philadelphia",7,236,15
"2014-05-11","philadelphia",1,320,16
"2014-05-11","philadelphia",2,284,16
"2014-05-11","philadelphia",3,242,16
"2014-05-11","philadelphia",4,237,16
"2014-05-11","philadelphia",5,249,16
"2014-05-11","philadelphia",6,266,16
"2014-05-11","philadelphia",7,272,16
"2014-05-18","philadelphia",1,279,17
"2014-05-18","philadelphia",2,253,17
"2014-05-18","philadelphia",3,232,17
"2014-05-18","philadelphia",4,232,17
"2014-05-18","philadelphia",5,237,17
"2014-05-18","philadelphia",6,248,17
"2014-05-18","philadelphia",7,253,17
"2014-05-25","philadelphia",1,889,18
"2014-05-25","philadelphia",2,651,18
"2014-05-25","philadelphia",3,162,18
"2014-05-25","philadelphia",4,85,18
"2014-05-25","philadelphia",5,58,18
"2014-05-25","philadelphia",6,238,18
"2014-05-25","philadelphia",7,271,18
"2014-06-01","philadelphia",1,291,19
"2014-06-01","philadelphia",2,235,19
"2014-06-01","philadelphia",3,231,19
"2014-06-01","philadelphia",4,242,19
"2014-06-01","philadelphia",5,249,19
"2014-06-01","philadelphia",6,256,19
"2014-06-01","philadelphia",7,258,19
"2014-06-08","philadelphia",1,333,20
"2014-06-08","philadelphia",2,286,20
"2014-06-08","philadelphia",3,229,20
"2014-06-08","philadelphia",4,210,20
"2014-06-08","philadelphia",5,227,20
"2014-06-08","philadelphia",6,253,20
"2014-06-08","philadelphia",7,270,20
"2014-01-25","richmond",1,75,1
"2014-01-25","richmond",2,78,1
"2014-01-25","richmond",3,85,1
"2014-01-25","richmond",4,92,1
"2014-01-25","richmond",5,94,1
"2014-01-25","richmond",6,95,1
"2014-01-25","richmond",7,93,1
"2014-02-01","richmond",1,82,2
"2014-02-01","richmond",2,75,2
"2014-02-01","richmond",3,84,2
"2014-02-01","richmond",4,84,2
"2014-02-01","richmond",5,79,2
"2014-02-01","richmond",6,80,2
"2014-02-01","richmond",7,82,2
"2014-02-08","richmond",1,76,3
"2014-02-08","richmond",2,88,3
"2014-02-08","richmond",3,84,3
"2014-02-08","richmond",4,78,3
"2014-02-08","richmond",5,77,3
"2014-02-08","richmond",6,77,3
"2014-02-08","richmond",7,80,3
"2014-02-15","richmond",1,74,4
"2014-02-15","richmond",2,73,4
"2014-02-15","richmond",3,78,4
"2014-02-15","richmond",4,76,4
"2014-02-15","richmond",5,76,4
"2014-02-15","richmond",6,77,4
"2014-02-15","richmond",7,79,4
"2014-02-22","richmond",1,66,5
"2014-02-22","richmond",2,85,5
"2014-02-22","richmond",3,79,5
"2014-02-22","richmond",4,85,5
"2014-02-22","richmond",5,83,5
"2014-02-22","richmond",6,84,5
"2014-02-22","richmond",7,85,5
"2014-03-01","richmond",1,60,6
"2014-03-01","richmond",2,71,6
"2014-03-01","richmond",3,78,6
"2014-03-01","richmond",4,75,6
"2014-03-01","richmond",5,73,6
"2014-03-01","richmond",6,73,6
"2014-03-01","richmond",7,75,6
"2014-03-08","richmond",1,73,7
"2014-03-08","richmond",2,78,7
"2014-03-08","richmond",3,83,7
"2014-03-08","richmond",4,76,7
"2014-03-08","richmond",5,79,7
"2014-03-08","richmond",6,78,7
"2014-03-08","richmond",7,79,7
"2014-03-15","richmond",1,78,8
"2014-03-15","richmond",2,81,8
"2014-03-15","richmond",3,76,8
"2014-03-15","richmond",4,75,8
"2014-03-15","richmond",5,73,8
"2014-03-15","richmond",6,75,8
"2014-03-15","richmond",7,77,8
"2014-03-22","richmond",1,78,9
"2014-03-22","richmond",2,91,9
"2014-03-22","richmond",3,80,9
"2014-03-22","richmond",4,73,9
"2014-03-22","richmond",5,70,9
"2014-03-22","richmond",6,72,9
"2014-03-22","richmond",7,77,9
"2014-03-29","richmond",1,98,10
"2014-03-29","richmond",2,106,10
"2014-03-29","richmond",3,89,10
"2014-03-29","richmond",4,75,10
"2014-03-29","richmond",5,76,10
"2014-03-29","richmond",6,80,10
"2014-03-29","richmond",7,86,10
"2014-04-05","richmond",1,76,11
"2014-04-05","richmond",2,92,11
"2014-04-05","richmond",3,85,11
"2014-04-05","richmond",4,79,11
"2014-04-05","richmond",5,76,11
"2014-04-05","richmond",6,76,11
"2014-04-05","richmond",7,80,11
"2014-04-12","richmond",1,82,12
"2014-04-12","richmond",2,88,12
"2014-04-12","richmond",3,78,12
"2014-04-12","richmond",4,72,12
"2014-04-12","richmond",5,68,12
"2014-04-12","richmond",6,72,12
"2014-04-12","richmond",7,77,12
"2014-04-19","richmond",1,108,13
"2014-04-19","richmond",2,103,13
"2014-04-19","richmond",3,85,13
"2014-04-19","richmond",4,70,13
"2014-04-19","richmond",5,72,13
"2014-04-19","richmond",6,78,13
"2014-04-19","richmond",7,84,13
"2014-04-27","richmond",1,79,14
"2014-04-27","richmond",2,72,14
"2014-04-27","richmond",3,69,14
"2014-04-27","richmond",4,70,14
"2014-04-27","richmond",5,74,14
"2014-04-27","richmond",6,78,14
"2014-04-27","richmond",7,78,14
"2014-05-04","richmond",1,84,15
"2014-05-04","richmond",2,76,15
"2014-05-04","richmond",3,71,15
"2014-05-04","richmond",4,70,15
"2014-05-04","richmond",5,72,15
"2014-05-04","richmond",6,76,15
"2014-05-04","richmond",7,78,15
"2014-05-11","richmond",1,90,16
"2014-05-11","richmond",2,84,16
"2014-05-11","richmond",3,76,16
"2014-05-11","richmond",4,80,16
"2014-05-11","richmond",5,83,16
"2014-05-11","richmond",6,86,16
"2014-05-11","richmond",7,86,16
"2014-05-18","richmond",1,76,17
"2014-05-18","richmond",2,73,17
"2014-05-18","richmond",3,73,17
"2014-05-18","richmond",4,77,17
"2014-05-18","richmond",5,80,17
"2014-05-18","richmond",6,82,17
"2014-05-18","richmond",7,81,17
"2014-05-25","richmond",1,258,18
"2014-05-25","richmond",2,203,18
"2014-05-25","richmond",3,66,18
"2014-05-25","richmond",4,42,18
"2014-05-25","richmond",5,29,18
"2014-05-25","richmond",6,77,18
"2014-05-25","richmond",7,84,18
"2014-06-01","richmond",1,81,19
"2014-06-01","richmond",2,78,19
"2014-06-01","richmond",3,77,19
"2014-06-01","richmond",4,81,19
"2014-06-01","richmond",5,78,19
"2014-06-01","richmond",6,81,19
"2014-06-01","richmond",7,82,19
"2014-06-08","richmond",1,87,20
"2014-06-08","richmond",2,84,20
"2014-06-08","richmond",3,80,20
"2014-06-08","richmond",4,78,20
"2014-06-08","richmond",5,79,20
"2014-06-08","richmond",6,82,20
"2014-06-08","richmond",7,84,20
