"Week_Start","Store","Day","Forecast","Week_ID","Lag_Used"
"2014-01-25","baltimore",1,131,1,21
"2014-01-25","baltimore",2,74,1,21
"2014-01-25","baltimore",3,87,1,21
"2014-01-25","baltimore",4,117,1,21
"2014-01-25","baltimore",5,103,1,21
"2014-01-25","baltimore",6,90,1,21
"2014-01-25","baltimore",7,169,1,21
"2014-02-01","baltimore",1,107,2,21
"2014-02-01","baltimore",2,87,2,21
"2014-02-01","baltimore",3,0,2,21
"2014-02-01","baltimore",4,85,2,21
"2014-02-01","baltimore",5,98,2,21
"2014-02-01","baltimore",6,74,2,21
"2014-02-01","baltimore",7,122,2,21
"2014-02-08","baltimore",1,105,3,21
"2014-02-08","baltimore",2,45,3,21
"2014-02-08","baltimore",3,20,3,21
"2014-02-08","baltimore",4,53,3,21
"2014-02-08","baltimore",5,118,3,21
"2014-02-08","baltimore",6,151,3,21
"2014-02-08","baltimore",7,165,3,21
"2014-02-15","baltimore",1,171,4,21
"2014-02-15","baltimore",2,132,4,21
"2014-02-15","baltimore",3,133,4,21
"2014-02-15","baltimore",4,116,4,21
"2014-02-15","baltimore",5,101,4,21
"2014-02-15","baltimore",6,107,4,21
"2014-02-15","baltimore",7,170,4,21
"2014-02-22","baltimore",1,89,5,21
"2014-02-22","baltimore",2,102,5,21
"2014-02-22","baltimore",3,130,5,21
"2014-02-22","baltimore",4,90,5,21
"2014-02-22","baltimore",5,88,5,21
"2014-02-22","baltimore",6,84,5,21
"2014-02-22","baltimore",7,218,5,21
"2014-03-01","baltimore",1,68,6,21
"2014-03-01","baltimore",2,35,6,21
"2014-03-01","baltimore",3,47,6,21
"2014-03-01","baltimore",4,55,6,21
"2014-03-01","baltimore",5,56,6,21
"2014-03-01","baltimore",6,66,6,21
"2014-03-01","baltimore",7,133,6,21
"2014-03-08","baltimore",1,128,7,21
"2014-03-08","baltimore",2,114,7,21
"2014-03-08","baltimore",3,62,7,21
"2014-03-08","baltimore",4,86,7,21
"2014-03-08","baltimore",5,103,7,21
"2014-03-08","baltimore",6,167,7,21
"2014-03-08","baltimore",7,183,7,21
"2014-03-15","baltimore",1,219,8,21
"2014-03-15","baltimore",2,178,8,21
"2014-03-15","baltimore",3,152,8,21
"2014-03-15","baltimore",4,128,8,21
"2014-03-15","baltimore",5,113,8,21
"2014-03-15","baltimore",6,100,8,21
"2014-03-15","baltimore",7,128,8,21
"2014-03-22","baltimore",1,168,9,21
"2014-03-22","baltimore",2,156,9,21
"2014-03-22","baltimore",3,129,9,21
"2014-03-22","baltimore",4,114,9,21
"2014-03-22","baltimore",5,138,9,21
"2014-03-22","baltimore",6,123,9,21
"2014-03-22","baltimore",7,153,9,21
"2014-03-29","baltimore",1,187,10,21
"2014-03-29","baltimore",2,170,10,21
"2014-03-29","baltimore",3,153,10,21
"2014-03-29","baltimore",4,101,10,21
"2014-03-29","baltimore",5,121,10,21
"2014-03-29","baltimore",6,142,10,21
"2014-03-29","baltimore",7,181,10,21
"2014-04-05","baltimore",1,192,11,21
"2014-04-05","baltimore",2,161,11,21
"2014-04-05","baltimore",3,153,11,21
"2014-04-05","baltimore",4,73,11,21
"2014-04-05","baltimore",5,93,11,21
"2014-04-05","baltimore",6,90,11,21
"2014-04-05","baltimore",7,147,11,21
"2014-04-12","baltimore",1,179,12,21
"2014-04-12","baltimore",2,163,12,21
"2014-04-12","baltimore",3,108,12,21
"2014-04-12","baltimore",4,90,12,21
"2014-04-12","baltimore",5,91,12,21
"2014-04-12","baltimore",6,110,12,21
"2014-04-12","baltimore",7,146,12,21
"2014-04-19","baltimore",1,210,13,21
"2014-04-19","baltimore",2,175,13,21
"2014-04-19","baltimore",3,135,13,21
"2014-04-19","baltimore",4,108,13,21
"2014-04-19","baltimore",5,116,13,21
"2014-04-19","baltimore",6,153,13,21
"2014-04-19","baltimore",7,167,13,21
"2014-04-27","baltimore",1,216,14,21
"2014-04-27","baltimore",2,156,14,21
"2014-04-27","baltimore",3,123,14,21
"2014-04-27","baltimore",4,93,14,21
"2014-04-27","baltimore",5,70,14,21
"2014-04-27","baltimore",6,81,14,21
"2014-04-27","baltimore",7,126,14,21
"2014-05-04","baltimore",1,133,15,21
"2014-05-04","baltimore",2,108,15,21
"2014-05-04","baltimore",3,82,15,21
"2014-05-04","baltimore",4,94,15,21
"2014-05-04","baltimore",5,95,15,21
"2014-05-04","baltimore",6,128,15,21
"2014-05-04","baltimore",7,183,15,21
"2014-05-11","baltimore",1,181,16,21
"2014-05-11","baltimore",2,156,16,21
"2014-05-11","baltimore",3,128,16,21
"2014-05-11","baltimore",4,92,16,21
"2014-05-11","baltimore",5,127,16,21
"2014-05-11","baltimore",6,133,16,21
"2014-05-11","baltimore",7,171,16,21
"2014-05-18","baltimore",1,124,17,21
"2014-05-18","baltimore",2,75,17,21
"2014-05-18","baltimore",3,86,17,21
"2014-05-18","baltimore",4,74,17,21
"2014-05-18","baltimore",5,85,17,21
"2014-05-18","baltimore",6,117,17,21
"2014-05-18","baltimore",7,144,17,21
"2014-05-25","baltimore",1,421,18,21
"2014-05-25","baltimore",2,358,18,21
"2014-05-25","baltimore",3,60,18,21
"2014-05-25","baltimore",4,48,18,21
"2014-05-25","baltimore",5,53,18,21
"2014-05-25","baltimore",6,85,18,21
"2014-05-25","baltimore",7,132,18,21
"2014-06-01","baltimore",1,87,19,21
"2014-06-01","baltimore",2,84,19,21
"2014-06-01","baltimore",3,35,19,21
"2014-06-01","baltimore",4,51,19,21
"2014-06-01","baltimore",5,73,19,21
"2014-06-01","baltimore",6,151,19,21
"2014-06-01","baltimore",7,131,19,21
"2014-06-08","baltimore",1,106,20,21
"2014-06-08","baltimore",2,80,20,21
"2014-06-08","baltimore",3,59,20,21
"2014-06-08","baltimore",4,64,20,21
"2014-06-08","baltimore",5,60,20,21
"2014-06-08","baltimore",6,98,20,21
"2014-06-08","baltimore",7,107,20,21
"2014-01-25","lancaster",1,111,1,28
"2014-01-25","lancaster",2,121,1,28
"2014-01-25","lancaster",3,113,1,28
"2014-01-25","lancaster",4,168,1,28
"2014-01-25","lancaster",5,104,1,28
"2014-01-25","lancaster",6,96,1,28
"2014-01-25","lancaster",7,203,1,28
"2014-02-01","lancaster",1,116,2,28
"2014-02-01","lancaster",2,130,2,28
"2014-02-01","lancaster",3,17,2,28
"2014-02-01","lancaster",4,127,2,28
"2014-02-01","lancaster",5,152,2,28
"2014-02-01","lancaster",6,150,2,28
"2014-02-01","lancaster",7,196,2,28
"2014-02-08","lancaster",1,150,3,28
"2014-02-08","lancaster",2,96,3,28
"2014-02-08","lancaster",3,0,3,28
"2014-02-08","lancaster",4,51,3,28
"2014-02-08","lancaster",5,125,3,28
"2014-02-08","lancaster",6,245,3,28
"2014-02-08","lancaster",7,180,3,28
"2014-02-15","lancaster",1,267,4,28
"2014-02-15","lancaster",2,160,4,28
"2014-02-15","lancaster",3,209,4,28
"2014-02-15","lancaster",4,205,4,28
"2014-02-15","lancaster",5,161,4,28
"2014-02-15","lancaster",6,207,4,28
"2014-02-15","lancaster",7,257,4,28
"2014-02-22","lancaster",1,131,5,28
"2014-02-22","lancaster",2,60,5,28
"2014-02-22","lancaster",3,155,5,28
"2014-02-22","lancaster",4,66,5,28
"2014-02-22","lancaster",5,82,5,28
"2014-02-22","lancaster",6,171,5,28
"2014-02-22","lancaster",7,250,5,28
"2014-03-01","lancaster",1,34,6,28
"2014-03-01","lancaster",2,66,6,28
"2014-03-01","lancaster",3,43,6,28
"2014-03-01","lancaster",4,46,6,28
"2014-03-01","lancaster",5,132,6,28
"2014-03-01","lancaster",6,124,6,28
"2014-03-01","lancaster",7,116,6,28
"2014-03-08","lancaster",1,194,7,28
"2014-03-08","lancaster",2,160,7,28
"2014-03-08","lancaster",3,68,7,28
"2014-03-08","lancaster",4,104,7,28
"2014-03-08","lancaster",5,100,7,28
"2014-03-08","lancaster",6,218,7,28
"2014-03-08","lancaster",7,242,7,28
"2014-03-15","lancaster",1,370,8,28
"2014-03-15","lancaster",2,295,8,28
"2014-03-15","lancaster",3,303,8,28
"2014-03-15","lancaster",4,200,8,28
"2014-03-15","lancaster",5,147,8,28
"2014-03-15","lancaster",6,102,8,28
"2014-03-15","lancaster",7,171,8,28
"2014-03-22","lancaster",1,222,9,28
"2014-03-22","lancaster",2,235,9,28
"2014-03-22","lancaster",3,172,9,28
"2014-03-22","lancaster",4,124,9,28
"2014-03-22","lancaster",5,133,9,28
"2014-03-22","lancaster",6,134,9,28
"2014-03-22","lancaster",7,169,9,28
"2014-03-29","lancaster",1,282,10,28
"2014-03-29","lancaster",2,248,10,28
"2014-03-29","lancaster",3,249,10,28
"2014-03-29","lancaster",4,190,10,28
"2014-03-29","lancaster",5,218,10,28
"2014-03-29","lancaster",6,215,10,28
"2014-03-29","lancaster",7,226,10,28
"2014-04-05","lancaster",1,202,11,28
"2014-04-05","lancaster",2,162,11,28
"2014-04-05","lancaster",3,167,11,28
"2014-04-05","lancaster",4,96,11,28
"2014-04-05","lancaster",5,134,11,28
"2014-04-05","lancaster",6,105,11,28
"2014-04-05","lancaster",7,152,11,28
"2014-04-12","lancaster",1,225,12,28
"2014-04-12","lancaster",2,165,12,28
"2014-04-12","lancaster",3,126,12,28
"2014-04-12","lancaster",4,89,12,28
"2014-04-12","lancaster",5,109,12,28
"2014-04-12","lancaster",6,125,12,28
"2014-04-12","lancaster",7,203,12,28
"2014-04-19","lancaster",1,280,13,28
"2014-04-19","lancaster",2,232,13,28
"2014-04-19","lancaster",3,197,13,28
"2014-04-19","lancaster",4,140,13,28
"2014-04-19","lancaster",5,208,13,28
"2014-04-19","lancaster",6,211,13,28
"2014-04-19","lancaster",7,208,13,28
"2014-04-27","lancaster",1,268,14,28
"2014-04-27","lancaster",2,191,14,28
"2014-04-27","lancaster",3,151,14,28
"2014-04-27","lancaster",4,125,14,28
"2014-04-27","lancaster",5,58,14,28
"2014-04-27","lancaster",6,79,14,28
"2014-04-27","lancaster",7,150,14,28
"2014-05-04","lancaster",1,142,15,28
"2014-05-04","lancaster",2,114,15,28
"2014-05-04","lancaster",3,139,15,28
"2014-05-04","lancaster",4,118,15,28
"2014-05-04","lancaster",5,90,15,28
"2014-05-04","lancaster",6,157,15,28
"2014-05-04","lancaster",7,216,15,28
"2014-05-11","lancaster",1,231,16,28
"2014-05-11","lancaster",2,250,16,28
"2014-05-11","lancaster",3,211,16,28
"2014-05-11","lancaster",4,148,16,28
"2014-05-11","lancaster",5,181,16,28
"2014-05-11","lancaster",6,205,16,28
"2014-05-11","lancaster",7,229,16,28
"2014-05-18","lancaster",1,139,17,28
"2014-05-18","lancaster",2,120,17,28
"2014-05-18","lancaster",3,120,17,28
"2014-05-18","lancaster",4,94,17,28
"2014-05-18","lancaster",5,109,17,28
"2014-05-18","lancaster",6,146,17,28
"2014-05-18","lancaster",7,190,17,28
"2014-05-25","lancaster",1,518,18,28
"2014-05-25","lancaster",2,400,18,28
"2014-05-25","lancaster",3,15,18,28
"2014-05-25","lancaster",4,4,18,28
"2014-05-25","lancaster",5,40,18,28
"2014-05-25","lancaster",6,37,18,28
"2014-05-25","lancaster",7,125,18,28
"2014-06-01","lancaster",1,141,19,28
"2014-06-01","lancaster",2,89,19,28
"2014-06-01","lancaster",3,39,19,28
"2014-06-01","lancaster",4,76,19,28
"2014-06-01","lancaster",5,120,19,28
"2014-06-01","lancaster",6,155,19,28
"2014-06-01","lancaster",7,113,19,28
"2014-06-08","lancaster",1,181,20,28
"2014-06-08","lancaster",2,57,20,28
"2014-06-08","lancaster",3,43,20,28
"2014-06-08","lancaster",4,72,20,28
"2014-06-08","lancaster",5,126,20,28
"2014-06-08","lancaster",6,154,20,28
"2014-06-08","lancaster",7,144,20,28
"2014-01-25","philadelphia",1,365,1,21
"2014-01-25","philadelphia",2,223,1,21
"2014-01-25","philadelphia",3,138,1,21
"2014-01-25","philadelphia",4,184,1,21
"2014-01-25","philadelphia",5,231,1,21
"2014-01-25","philadelphia",6,196,1,21
"2014-01-25","philadelphia",7,363,1,21
"2014-02-01","philadelphia",1,184,2,21
"2014-02-01","philadelphia",2,141,2,21
"2014-02-01","philadelphia",3,0,2,21
"2014-02-01","philadelphia",4,90,2,21
"2014-02-01","philadelphia",5,196,2,21
"2014-02-01","philadelphia",6,139,2,21
"2014-02-01","philadelphia",7,209,2,21
"2014-02-08","philadelphia",1,260,3,21
"2014-02-08","philadelphia",2,146,3,21
"2014-02-08","philadelphia",3,87,3,21
"2014-02-08","philadelphia",4,136,3,21
"2014-02-08","philadelphia",5,221,3,21
"2014-02-08","philadelphia",6,295,3,21
"2014-02-08","philadelphia",7,308,3,21
"2014-02-15","philadelphia",1,318,4,21
"2014-02-15","philadelphia",2,259,4,21
"2014-02-15","philadelphia",3,306,4,21
"2014-02-15","philadelphia",4,252,4,21
"2014-02-15","philadelphia",5,231,4,21
"2014-02-15","philadelphia",6,212,4,21
"2014-02-15","philadelphia",7,308,4,21
"2014-02-22","philadelphia",1,272,5,21
"2014-02-22","philadelphia",2,248,5,21
"2014-02-22","philadelphia",3,283,5,21
"2014-02-22","philadelphia",4,200,5,21
"2014-02-22","philadelphia",5,169,5,21
"2014-02-22","philadelphia",6,150,5,21
"2014-02-22","philadelphia",7,367,5,21
"2014-03-01","philadelphia",1,146,6,21
"2014-03-01","philadelphia",2,136,6,21
"2014-03-01","philadelphia",3,78,6,21
"2014-03-01","philadelphia",4,137,6,21
"2014-03-01","philadelphia",5,170,6,21
"2014-03-01","philadelphia",6,161,6,21
"2014-03-01","philadelphia",7,297,6,21
"2014-03-08","philadelphia",1,288,7,21
"2014-03-08","philadelphia",2,234,7,21
"2014-03-08","philadelphia",3,189,7,21
"2014-03-08","philadelphia",4,209,7,21
"2014-03-08","philadelphia",5,224,7,21
"2014-03-08","philadelphia",6,337,7,21
"2014-03-08","philadelphia",7,377,7,21
"2014-03-15","philadelphia",1,376,8,21
"2014-03-15","philadelphia",2,292,8,21
"2014-03-15","philadelphia",3,288,8,21
"2014-03-15","philadelphia",4,283,8,21
"2014-03-15","philadelphia",5,239,8,21
"2014-03-15","philadelphia",6,197,8,21
"2014-03-15","philadelphia",7,268,8,21
"2014-03-22","philadelphia",1,327,9,21
"2014-03-22","philadelphia",2,320,9,21
"2014-03-22","philadelphia",3,298,9,21
"2014-03-22","philadelphia",4,228,9,21
"2014-03-22","philadelphia",5,262,9,21
"2014-03-22","philadelphia",6,224,9,21
"2014-03-22","philadelphia",7,247,9,21
"2014-03-29","philadelphia",1,417,10,21
"2014-03-29","philadelphia",2,410,10,21
"2014-03-29","philadelphia",3,324,10,21
"2014-03-29","philadelphia",4,192,10,21
"2014-03-29","philadelphia",5,207,10,21
"2014-03-29","philadelphia",6,253,10,21
"2014-03-29","philadelphia",7,322,10,21
"2014-04-05","philadelphia",1,405,11,21
"2014-04-05","philadelphia",2,374,11,21
"2014-04-05","philadelphia",3,308,11,21
"2014-04-05","philadelphia",4,171,11,21
"2014-04-05","philadelphia",5,198,11,21
"2014-04-05","philadelphia",6,207,11,21
"2014-04-05","philadelphia",7,297,11,21
"2014-04-12","philadelphia",1,365,12,21
"2014-04-12","philadelphia",2,325,12,21
"2014-04-12","philadelphia",3,229,12,21
"2014-04-12","philadelphia",4,202,12,21
"2014-04-12","philadelphia",5,233,12,21
"2014-04-12","philadelphia",6,211,12,21
"2014-04-12","philadelphia",7,303,12,21
"2014-04-19","philadelphia",1,455,13,21
"2014-04-19","philadelphia",2,369,13,21
"2014-04-19","philadelphia",3,236,13,21
"2014-04-19","philadelphia",4,199,13,21
"2014-04-19","philadelphia",5,201,13,21
"2014-04-19","philadelphia",6,275,13,21
"2014-04-19","philadelphia",7,330,13,21
"2014-04-27","philadelphia",1,473,14,21
"2014-04-27","philadelphia",2,365,14,21
"2014-04-27","philadelphia",3,247,14,21
"2014-04-27","philadelphia",4,163,14,21
"2014-04-27","philadelphia",5,129,14,21
"2014-04-27","philadelphia",6,164,14,21
"2014-04-27","philadelphia",7,289,14,21
"2014-05-04","philadelphia",1,313,15,21
"2014-05-04","philadelphia",2,196,15,21
"2014-05-04","philadelphia",3,155,15,21
"2014-05-04","philadelphia",4,155,15,21
"2014-05-04","philadelphia",5,203,15,21
"2014-05-04","philadelphia",6,282,15,21
"2014-05-04","philadelphia",7,405,15,21
"2014-05-11","philadelphia",1,362,16,21
"2014-05-11","philadelphia",2,313,16,21
"2014-05-11","philadelphia",3,293,16,21
"2014-05-11","philadelphia",4,236,16,21
"2014-05-11","philadelphia",5,274,16,21
"2014-05-11","philadelphia",6,306,16,21
"2014-05-11","philadelphia",7,374,16,21
"2014-05-18","philadelphia",1,284,17,21
"2014-05-18","philadelphia",2,180,17,21
"2014-05-18","philadelphia",3,200,17,21
"2014-05-18","philadelphia",4,210,17,21
"2014-05-18","philadelphia",5,217,17,21
"2014-05-18","philadelphia",6,262,17,21
"2014-05-18","philadelphia",7,332,17,21
"2014-05-25","philadelphia",1,883,18,21
"2014-05-25","philadelphia",2,691,18,21
"2014-05-25","philadelphia",3,108,18,21
"2014-05-25","philadelphia",4,104,18,21
"2014-05-25","philadelphia",5,115,18,21
"2014-05-25","philadelphia",6,192,18,21
"2014-05-25","philadelphia",7,305,18,21
"2014-06-01","philadelphia",1,243,19,21
"2014-06-01","philadelphia",2,170,19,21
"2014-06-01","philadelphia",3,79,19,21
"2014-06-01","philadelphia",4,69,19,21
"2014-06-01","philadelphia",5,126,19,21
"2014-06-01","philadelphia",6,247,19,21
"2014-06-01","philadelphia",7,272,19,21
"2014-06-08","philadelphia",1,263,20,21
"2014-06-08","philadelphia",2,149,20,21
"2014-06-08","philadelphia",3,126,20,21
"2014-06-08","philadelphia",4,168,20,21
"2014-06-08","philadelphia",5,126,20,21
"2014-06-08","philadelphia",6,260,20,21
"2014-06-08","philadelphia",7,333,20,21
"2014-01-25","richmond",1,89,1,21
"2014-01-25","richmond",2,32,1,21
"2014-01-25","richmond",3,32,1,21
"2014-01-25","richmond",4,62,1,21
"2014-01-25","richmond",5,77,1,21
"2014-01-25","richmond",6,63,1,21
"2014-01-25","richmond",7,113,1,21
"2014-02-01","richmond",1,61,2,21
"2014-02-01","richmond",2,45,2,21
"2014-02-01","richmond",3,0,2,21
"2014-02-01","richmond",4,39,2,21
"2014-02-01","richmond",5,55,2,21
"2014-02-01","richmond",6,38,2,21
"2014-02-01","richmond",7,72,2,21
"2014-02-08","richmond",1,85,3,21
"2014-02-08","richmond",2,43,3,21
"2014-02-08","richmond",3,25,3,21
"2014-02-08","richmond",4,32,3,21
"2014-02-08","richmond",5,72,3,21
"2014-02-08","richmond",6,88,3,21
"2014-02-08","richmond",7,94,3,21
"2014-02-15","richmond",1,98,4,21
"2014-02-15","richmond",2,97,4,21
"2014-02-15","richmond",3,100,4,21
"2014-02-15","richmond",4,83,4,21
"2014-02-15","richmond",5,77,4,21
"2014-02-15","richmond",6,70,4,21
"2014-02-15","richmond",7,90,4,21
"2014-02-22","richmond",1,74,5,21
"2014-02-22","richmond",2,61,5,21
"2014-02-22","richmond",3,64,5,21
"2014-02-22","richmond",4,54,5,21
"2014-02-22","richmond",5,55,5,21
"2014-02-22","richmond",6,67,5,21
"2014-02-22","richmond",7,125,5,21
"2014-03-01","richmond",1,27,6,21
"2014-03-01","richmond",2,20,6,21
"2014-03-01","richmond",3,5,6,21
"2014-03-01","richmond",4,19,6,21
"2014-03-01","richmond",5,35,6,21
"2014-03-01","richmond",6,46,6,21
"2014-03-01","richmond",7,85,6,21
"2014-03-08","richmond",1,63,7,21
"2014-03-08","richmond",2,47,7,21
"2014-03-08","richmond",3,32,7,21
"2014-03-08","richmond",4,46,7,21
"2014-03-08","richmond",5,64,7,21
"2014-03-08","richmond",6,97,7,21
"2014-03-08","richmond",7,107,7,21
"2014-03-15","richmond",1,121,8,21
"2014-03-15","richmond",2,107,8,21
"2014-03-15","richmond",3,90,8,21
"2014-03-15","richmond",4,86,8,21
"2014-03-15","richmond",5,72,8,21
"2014-03-15","richmond",6,51,8,21
"2014-03-15","richmond",7,74,8,21
"2014-03-22","richmond",1,112,9,21
"2014-03-22","richmond",2,103,9,21
"2014-03-22","richmond",3,88,9,21
"2014-03-22","richmond",4,64,9,21
"2014-03-22","richmond",5,75,9,21
"2014-03-22","richmond",6,64,9,21
"2014-03-22","richmond",7,83,9,21
"2014-03-29","richmond",1,126,10,21
"2014-03-29","richmond",2,130,10,21
"2014-03-29","richmond",3,103,10,21
"2014-03-29","richmond",4,69,10,21
"2014-03-29","richmond",5,62,10,21
"2014-03-29","richmond",6,87,10,21
"2014-03-29","richmond",7,99,10,21
"2014-04-05","richmond",1,116,11,21
"2014-04-05","richmond",2,115,11,21
"2014-04-05","richmond",3,98,11,21
"2014-04-05","richmond",4,49,11,21
"2014-04-05","richmond",5,38,11,21
"2014-04-05","richmond",6,61,11,21
"2014-04-05","richmond",7,82,11,21
"2014-04-12","richmond",1,97,12,21
"2014-04-12","richmond",2,102,12,21
"2014-04-12","richmond",3,79,12,21
"2014-04-12","richmond",4,55,12,21
"2014-04-12","richmond",5,53,12,21
"2014-04-12","richmond",6,66,12,21
"2014-04-12","richmond",7,91,12,21
"2014-04-19","richmond",1,116,13,21
"2014-04-19","richmond",2,110,13,21
"2014-04-19","richmond",3,81,13,21
"2014-04-19","richmond",4,62,13,21
"2014-04-19","richmond",5,60,13,21
"2014-04-19","richmond",6,98,13,21
"2014-04-19","richmond",7,102,13,21
"2014-04-27","richmond",1,118,14,21
"2014-04-27","richmond",2,100,14,21
"2014-04-27","richmond",3,68,14,21
"2014-04-27","richmond",4,51,14,21
"2014-04-27","richmond",5,31,14,21
"2014-04-27","richmond",6,55,14,21
"2014-04-27","richmond",7,85,14,21
"2014-05-04","richmond",1,90,15,21
"2014-05-04","richmond",2,69,15,21
"2014-05-04","richmond",3,50,15,21
"2014-05-04","richmond",4,57,15,21
"2014-05-04","richmond",5,59,15,21
"2014-05-04","richmond",6,81,15,21
"2014-05-04","richmond",7,114,15,21
"2014-05-11","richmond",1,103,16,21
"2014-05-11","richmond",2,96,16,21
"2014-05-11","richmond",3,77,16,21
"2014-05-11","richmond",4,69,16,21
"2014-05-11","richmond",5,79,16,21
"2014-05-11","richmond",6,87,16,21
"2014-05-11","richmond",7,110,16,21
"2014-05-18","richmond",1,81,17,21
"2014-05-18","richmond",2,57,17,21
"2014-05-18","richmond",3,60,17,21
"2014-05-18","richmond",4,57,17,21
"2014-05-18","richmond",5,57,17,21
"2014-05-18","richmond",6,71,17,21
"2014-05-18","richmond",7,98,17,21
"2014-05-25","richmond",1,260,18,21
"2014-05-25","richmond",2,207,18,21
"2014-05-25","richmond",3,31,18,21
"2014-05-25","richmond",4,27,18,21
"2014-05-25","richmond",5,20,18,21
"2014-05-25","richmond",6,50,18,21
"2014-05-25","richmond",7,79,18,21
"2014-06-01","richmond",1,63,19,21
"2014-06-01","richmond",2,58,19,21
"2014-06-01","richmond",3,38,19,21
"2014-06-01","richmond",4,44,19,21
"2014-06-01","richmond",5,48,19,21
"2014-06-01","richmond",6,86,19,21
"2014-06-01","richmond",7,70,19,21
"2014-06-08","richmond",1,62,20,21
"2014-06-08","richmond",2,28,20,21
"2014-06-08","richmond",3,31,20,21
"2014-06-08","richmond",4,39,20,21
"2014-06-08","richmond",5,43,20,21
"2014-06-08","richmond",6,76,20,21
"2014-06-08","richmond",7,84,20,21
